alter_name,copyright_year,description,duration,genre,high,img,low,medium,name,origin,id
Thành Phố Vàng Đã Mất,2016,"
                  Thành Phố Vàng Đã Mất - The Lost City Of Z là câu chuyện có thật của nhà thám hiểm người anh Percy Fawcett, người đã thám hiểm đến Amazon vào thế kỷ 20 và phát hiện ra bằng chứng về một nền văn minh tiên tiến nhưng chưa được phát hiện ra trước đó. Tuy nhiên, các quan điểm khoa học đều cho rằng những người dân bản địa tại đây là “những người hoang dã”. Mặc dù vậy, Percy Fawcett vẫn cố gắng chứng minh quan điểm của mình với sự hỗ trợ của vợ, con trai,...
                ",141 phút,"Hành Động,Tâm Lý,Phiêu Lưu",,http://fcine.net/uploads/monthly_2017_06/ABC.jpg.5c33434359f3219b94c5e54d2c7d210f.jpg,,,The Lost City of Z,Mỹ,11
Cuộc Chiến Rượu Vang,2017,"
                  Bộ phim điện ảnh Wine war do Lê Minh đạo diễn kiêm nam chính, Huỳnh Kiến điều hành sản xuất. Ngoài ra, phim còn có sự tham gia của các diễn viên như Trương Hàm Dư, Đỗ Quyên, Vương Diệu Khánh… Phim do biên kịch Seth Be chắp bút, dự kiến sẽ phát sóng tại Trung Quốc vào 19/5/2017.
Nội dung phim được xây dựng vào thế kỷ 19, một chuyên gia nếm rượu nổi tiếng thế giới được người bạn thuở ấu thơ tại Trung Quốc mời trở về, đồng thời giúp đỡ đấu giá chai rượu vang 1855. Tuy nhiên, sau đó anh ta dần ra mối thâm thù từ các vườn nho và liên quan đến bí ẩn lịch sử có thể dẫn tới hậu quả phá hủy nền công nghiệp ủ rượu.
                ",90 phút,"Hành Động,Giật Gân,Hình Sự",,http://fcine.net/uploads/monthly_2017_06/594e82569d949_MV5BOWU3NTJhZTgtZWFhZC00NTYyLWIwZWMtNDI0MTExNzNlYWFiXkEyXkFqcGdeQXVyMjY2OTU0MTg@._V1_SY1000_CR007041000_AL_.jpg.8d4c2973191e14b7ec1ca614d03cbe6a.jpg,,,Wine Wars,"Trung Quốc,Hồng Kông",12
Tiểu Thuyết Kinh Dị,2017,"
                  Là một tiểu thuyết gia hết thời., Thôi Khải bỗng nhiên nhận được lời viết tiểu thuyết kị dị từ nhà xuất bản. Kể từ đó, anh lao vào sáng tác nhưng càng viết anh càng bị cuốn vào từng câu chuyện rùng rợn của chính mình. Những ám ảnh của quá khứ, những bí mật chưa rõ liệu có sáng tỏ khi cuốn tiểu thuyết được hoàn thành
                ",89 phút,"Kinh Dị,Thuyết minh",,http://fcine.net/uploads/monthly_2017_06/594e3aede1613_MV5BMTE0OTdkNGYtZGFkMi00NTc2LTg0YWUtZDAxYTU0ZmM1MGZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDk5ODA0MTg@._V1_SY1000_CR006851000_AL_.jpg.eed6cb77e6169fbe2ec61057078d8519.jpg,,,Inside: A Chinese Horror Story,Trung Quốc,13
Tôi Là Dalida,2016,"
                  Bộ phim mô tả lại cuộc đời của nữ danh ca huyền thoại Dalida, với cuộc sống nội tâm khá phức tạp của bà. Chào đời năm 1933 tại Le Caire (Ai Cập), Iolanda Gigliotti lần đầu tiên xuất hiện tại hí viện Olympia 1956 với nghệ danh Dalida đã gây được ấn tượng với ban giám khảo. Kết hôn với Lucien Morisse và bà đã nhanh chóng nổi tiếng qua ca khúc Bambino. Dù sự nghiệp ngày càng rực rỡ, nhưng Dalida vẫn mãi vô vọng tìm gặp một tình yêu đích thực. Cô đơn đã khiến bà tự tìm đến cái chết vào năm 1987.
                ",124 phút,Tài Liệu,,http://fcine.net/uploads/monthly_2017_06/Dalida.jpg.f935a8eb0ab82f21153c36c23f5b1db8.jpg,https://lh3.googleusercontent.com/vZqK4Jg_tCqU24Kz_zkfA56n0Zru_0DhKjaL8ApO8eX6trukqBulHnYQXqywdzToLUnUPvdDB1yQYfLR51j0zBvhVmVyaTTqSlW3oJfdS9aSFoAcnyvCxLNr27zb1haOK8dU7Y54Mrk=m18,https://lh3.googleusercontent.com/vZqK4Jg_tCqU24Kz_zkfA56n0Zru_0DhKjaL8ApO8eX6trukqBulHnYQXqywdzToLUnUPvdDB1yQYfLR51j0zBvhVmVyaTTqSlW3oJfdS9aSFoAcnyvCxLNr27zb1haOK8dU7Y54Mrk=m22,Dalida,Pháp,14
Tim Rồng: Trận Chiến Dành Heartfire,2017,"
                  Sau khi vua Gareth qua đời thì 2 người anh em tranh nhau ngai vàng, cả 2 đều xứng đáng vì mang trong mình sức mạnh của rồng. Nhưng trong lúc đó nguồn sức mạnh của rồng Drago (được gọi là Heartfire) bị đánh cắp, vả vương quốc bị đe dọa. Hai anh em phải liên kết để bảo vệ vương quốc hoặc mất tất cả...
                ",98 phút,"Hành Động,Viễn Tưởng,Phiêu Lưu,Thần Thoại",,http://fcine.net/uploads/monthly_2017_06/Poster.jpg.518c67b2748452dce9c7f54189368504.jpg,,,Dragonheart: Battle for the Heartfire,Mỹ,15
Kẻ Bắt Cóc,2017,"
                  Một người mẹ đơn thân tên là Karla Dyson (Halle Berry) sống vui vẻ cùng với con trai của cô ấy Frankie (Sage Correa). Một ngày, khi hai mẹ con đi chơi công viên, sau khi gọi xong một cuộc điện thoại, Karla phát hiện con trai mình biến mất. Khi đang vội vã đi tìm, cô thấy một kẻ bắt cóc đang đưa con mình lên ô tô. Để cứu Frankie, Karla đã bắt đầu một hành trình truy đuổi tưởng như vô tận. Bằng bất cứ giá nào, dù nguy hiểm đến đâu, cô cũng quyết tâm đem con mình trở về.
                ",94 phút,Giật Gân,,http://fcine.net/uploads/monthly_2017_06/kidnap_ver2.jpg.9d5530f628ceac560074b847a3b61ae4.jpg,,,Kidnap,Mỹ,16
Không Tặc,2017,"
                  Một nhân viên FBI nữ được trả hàng triệu để giúp một tên trộm thoát khỏi một chiếc máy bay bị cướp.
                ",88 phút,"Hành Động,Giật Gân",,http://fcine.net/uploads/monthly_2017_06/593f7debb111c_MV5BYjRlOWZmOWItN2ZlMi00MWMyLWI5ODUtOTc5YWNjNzViYTNlXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SY1000_CR006741000_AL_.jpg.90b68bef49ff58331fa866b4d174e9b2.jpg,https://lh3.googleusercontent.com/IK1mS_Z2ZKaLg2L8biZZuN8Q6WAusFuGETYmJE3XeJo04fehZY2wvLRVx2xcETqW5dFoot5kPs4WWWHLNQ4f3r8z8YeWVp1iaNzF_31Lglz9k68EXqtpNcmL2rkwGWMLzLodhvGM23I=m18,https://lh3.googleusercontent.com/IK1mS_Z2ZKaLg2L8biZZuN8Q6WAusFuGETYmJE3XeJo04fehZY2wvLRVx2xcETqW5dFoot5kPs4WWWHLNQ4f3r8z8YeWVp1iaNzF_31Lglz9k68EXqtpNcmL2rkwGWMLzLodhvGM23I=m22,Altitude,Mỹ,17
Vẹt Cò Phiêu Lưu Ký,2017,"
                  Vốn là một chú chim sẻ mồ côi. Richard được một gia đinh vẹt cò nhận về nuôi và hết lòng yêu mến. Có nằm mơ Richard cũng chưa bao giờ nghĩ mình không phải là vẹt cò. Cho đến một ngày khi bố mẹ nuôi cùng anh trai của chú thừa nhận rằng họ phải bắt đầu đi tránh rét và tìm đến cái nắng ấm chói chang của miền đất châu Phi, hành trình chông gai đó chưa bao giờ phù hợp với thể trạng của Richard vốn là một chú chim sẻ yếu ớt. Lòng nặng trĩu nhưng gia đinh vẹt cò buộc phải để Richard lại để bắt đầu chuyến đi của mình. Việc không có một đôi cánh rậm khỏe mạnh của giống vẹt cò không có nghĩa là Richard không thể bay đến Phi châu để đoàn tụ cùng gia đinh. Quyết tâm lên đường, may mắn thay chú lại được Olga, một cô cú vọ quá khổ cùng người bạn tưởng tượng của mình là Oleg giúp đỡ. Khi Richard và Olga giúp giải phóng Kiki, một chú vẹt đuôi dài bị giam cầm, bộ ba đã quyết định sát cánh cùng nhau trong hành trình đến châu Phi để giúp Richard đoàn viên cùng gia đinh. Kể từ đây, cuộc phiêu lưu vô tiền khoáng hậu bắt đầu.
                ",85 phút,"Hoạt Hình,Phiêu Lưu",,http://fcine.net/uploads/monthly_2017_06/593f97902cf65_Poster-VetCOPhieuLuuKy.jpg.ae8082dda1dd08afe62621a792a19134.jpg,,,A Stork's Journey,Mỹ,18
Võ Sĩ Quyền Anh,2017,"
                  Cựu vô địch quyền anh thưở thiếu niên, Jimmy McCabe (Johnny Harris), là một người đang tìm kiếm hy vọng nhưng toàn nhầm chỗ. Khi anh ấy rơi vào hoàn cảnh khó khăn, anh ấy quay lại câu lạc bộ quyền anh thời thơ ấu của mình và gia đình duy nhất mà anh ấy từng bỏ lại: chủ phòng gym Bill, chăm sóc viên Eddie, và nhà tài trợ Joe...
                ",91 phút,"Hành Động,Tâm Lý,Thể Thao",,http://fcine.net/uploads/monthly_2017_06/59416db49dc24_tt3582020apikeyc63fae94.jpg.e2f202ca85c611a4aab0e88ae621ecbb.jpg,,,Jawbone,Anh,19
Nhiệm Vụ Đánh Thuê,2016,"
                  Hai lính đánh thuê trên một chiếc xe đã xảy ra nhiều tình huống bất ngờ khi họ đi qua sa mạc vào ban đêm để thực hiện một vụ bắt cóc tại Iraq...
                ",92 phút,,,http://fcine.net/uploads/monthly_2017_06/tigerraiddvd3.jpg.9778b2f70a06c192016353326d8c9597.jpg,,,Tiger Raid,Anh,20
Con Tim & Lý Trí,2016,"
                  Tâm trí và trái tim của một nhân viên văn phòng trung bình xung đột với những gì anh ta muốn và những gì anh ta cần.
                ",6 phút,"Hoạt Hình,Hài Hước,Phiêu Lưu,Gia Đình",https://lh3.googleusercontent.com/VaqUR7zYxXBvvpZTcK-ykXutz9b_S8OxIlHZgVqb0Vy0p51q7wKf6P11kQw5KHl0FB35cnyY-i36E-fDlsaVWctJNMcQXDc2R3Bpaz_ugos-TXBQMJjz64dzFuiO6QzpMQ4sXhm8tao=m37,http://static.tamnhinso.info/posters/inner_workings.jpg,https://lh3.googleusercontent.com/VaqUR7zYxXBvvpZTcK-ykXutz9b_S8OxIlHZgVqb0Vy0p51q7wKf6P11kQw5KHl0FB35cnyY-i36E-fDlsaVWctJNMcQXDc2R3Bpaz_ugos-TXBQMJjz64dzFuiO6QzpMQ4sXhm8tao=m18,https://lh3.googleusercontent.com/VaqUR7zYxXBvvpZTcK-ykXutz9b_S8OxIlHZgVqb0Vy0p51q7wKf6P11kQw5KHl0FB35cnyY-i36E-fDlsaVWctJNMcQXDc2R3Bpaz_ugos-TXBQMJjz64dzFuiO6QzpMQ4sXhm8tao=m22,Inner Workings,Mỹ,21
Cổ Máy Chiến Tranh,2017,"
                  Tướng McMahon được khắc họa là một nhân vật tự tin thái quá, dù vậy cũng khá vụng về, anh ta hăng hái thực hiện các nhiệm vụ được giao với mục tiêu duy nhất - phải thành công. Nhưng khi mọi việc bắt đầu diễn ra không theo như kế hoạch mong muốn, với nhiều chướng ngại xuất hiện gây cản trở mục tiêu, McMahon bắt đầu phải đối diện với những tình huống bi hài.
                ",121 phút,"Hài Hước,Tâm Lý,Chiến Tranh",https://lh3.googleusercontent.com/d5DIXihrdYlAg-7dvmTdGR7sEacmyFRlTVpX2iumSWKHu_re17S9jOvvWnK2rAt8GyPUxfd7QWRXnJHym1lBaDcysRd2fQtZT6gHVgBkwatWWK4za4yDuTJe4m1dCw-wcHnHfGroJL8=m37,http://static.tamnhinso.info/posters/war_machine.jpg,https://lh3.googleusercontent.com/d5DIXihrdYlAg-7dvmTdGR7sEacmyFRlTVpX2iumSWKHu_re17S9jOvvWnK2rAt8GyPUxfd7QWRXnJHym1lBaDcysRd2fQtZT6gHVgBkwatWWK4za4yDuTJe4m1dCw-wcHnHfGroJL8=m18,https://lh3.googleusercontent.com/d5DIXihrdYlAg-7dvmTdGR7sEacmyFRlTVpX2iumSWKHu_re17S9jOvvWnK2rAt8GyPUxfd7QWRXnJHym1lBaDcysRd2fQtZT6gHVgBkwatWWK4za4yDuTJe4m1dCw-wcHnHfGroJL8=m22,War Machine,Mỹ,22
Mất Tích Ở Berlin,2017,"
                  Khi Clare lần đầu tiên đến Berlin, ngay lập tức cô đã rơi vào tình yêu với Andi, một tình yêu nồng nàng và rạo rực đến nổi họ không thể tách rời nhau. Nhưng đằng sau tình yêu ngọt ngào đó là một chiếc bẫy đã được giăng từ trước. Mọi chuyện sẽ xảy ra như thế nào với Clare?
                ",116 phút,Giật Gân,https://lh3.googleusercontent.com/SNi8k0c6G2ON8zxxVrjy-B2mOREdAjrAfC3W2J0bqJDZFaHt-s3Dw6tgHHxjPpkjQrSW4rjwsQlRPlR6Q-smklyRZ8P4iF4f8-KCvNHdfRIv_-fSKrNBQ1lSdN2ZBlMnfejgnHOQLiY=m37,http://static.tamnhinso.info/posters/berlin_syndrome.jpg,https://lh3.googleusercontent.com/SNi8k0c6G2ON8zxxVrjy-B2mOREdAjrAfC3W2J0bqJDZFaHt-s3Dw6tgHHxjPpkjQrSW4rjwsQlRPlR6Q-smklyRZ8P4iF4f8-KCvNHdfRIv_-fSKrNBQ1lSdN2ZBlMnfejgnHOQLiY=m18,https://lh3.googleusercontent.com/SNi8k0c6G2ON8zxxVrjy-B2mOREdAjrAfC3W2J0bqJDZFaHt-s3Dw6tgHHxjPpkjQrSW4rjwsQlRPlR6Q-smklyRZ8P4iF4f8-KCvNHdfRIv_-fSKrNBQ1lSdN2ZBlMnfejgnHOQLiY=m22,Berlin Syndrome,Khác,23
Chuyến Đi Đảo Kinh Hoàng,2017,"
                  Kevin Riley (Eion Bailey) cùng vợ và con mình đang tận hưởng kỳ nghỉ dưỡng tại một hoang đảo thì con thuyền của họ gặp sự cố không thể khởi động được. Cả ba bị kẹt lại nơi đây, đứng trước nguy cơ chết mòn vì thiếu lương thực và nước uống. Trước tình cảnh nguy kịch đó, hai ngư dân da màu xuất hiện. Tưởng chừng gia đình anh đã được cứu, nhưng không, những kẻ máu lạnh ấy đã bắt cóc vợ con Kevin để tống tiền anh. Kevin phải vật lộn cùng thời gian, bằng mọi giá cứu lấy hai người mà anh yêu thương nhất đời mình.
                ",108 phút,"Hành Động,Hình Sự,Phiêu Lưu",,http://static.tamnhinso.info/posters/extortion.jpg,,,Extortion,Mỹ,24
